"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
6.8;0.57;0;2.5;0.072;32;64;0.99491;3.43;0.56;11.2;6
7.2;0.63;0;1.9;0.097;14;38;0.99675;3.37;0.58;9;6
7.6;0.36;0.31;1.7;0.079;26;65;0.99716;3.46;0.62;9.5;6
7.3;0.835;0.03;2.1;0.092;10;19;0.9966;3.39;0.47;9.6;5
7.7;0.705;0.1;2.6;0.084;9;26;0.9976;3.39;0.49;9.7;5
7.1;0.52;0.03;2.6;0.076;21;92;0.99745;3.5;0.6;9.8;5
8.6;0.53;0.22;2;0.1;7;27;0.9967;3.2;0.56;10.2;6
10.9;0.53;0.49;4.6;0.118;10;17;1.0002;3.07;0.56;11.7;6
12.2;0.34;0.5;2.4;0.066;10;21;1;3.12;1.18;9.2;6
10.1;0.31;0.35;1.6;0.075;9;28;0.99672;3.24;0.83;11.2;7
9.9;0.54;0.26;2;0.111;7;60;0.99709;2.94;0.98;10.2;5
6.9;0.54;0.04;3;0.077;7;27;0.9987;3.69;0.91;9.4;6
7.8;0.61;0.29;1.6;0.114;9;29;0.9974;3.26;1.56;9.1;5
13.2;0.46;0.52;2.2;0.071;12;35;1.0006;3.1;0.56;9;6
7.8;0.56;0.19;2;0.081;17;108;0.9962;3.32;0.54;9.5;5
7.1;0.84;0.02;4.4;0.096;5;13;0.997;3.41;0.57;11;4
7.9;0.69;0.21;2.1;0.08;33;141;0.9962;3.25;0.51;9.9;5
10.5;0.51;0.64;2.4;0.107;6;15;0.9973;3.09;0.66;11.8;7
8.9;0.35;0.4;3.6;0.11;12;24;0.99549;3.23;0.7;12;7
9;0.82;0.05;2.4;0.081;26;96;0.99814;3.36;0.53;10;5
10.5;0.43;0.35;3.3;0.092;24;70;0.99798;3.21;0.69;10.5;6
7.7;0.26;0.3;1.7;0.059;20;38;0.9949;3.29;0.47;10.8;6
7.9;0.66;0;1.4;0.096;6;13;0.99569;3.43;0.58;9.5;5
6.9;0.52;0.25;2.6;0.081;10;37;0.99685;3.46;0.5;11;5
7;0.62;0.18;1.5;0.062;7;50;0.9951;3.08;0.6;9.3;5
10.4;0.34;0.58;3.7;0.174;6;16;0.997;3.19;0.7;11.3;6
8.9;0.59;0.5;2;0.337;27;81;0.9964;3.04;1.61;9.5;6
6.6;0.815;0.02;2.7;0.072;17;34;0.9955;3.58;0.89;12.3;7
12.7;0.6;0.49;2.8;0.075;5;19;0.9994;3.14;0.57;11.4;5
7.2;0.38;0.31;2;0.056;15;29;0.99472;3.23;0.76;11.3;8
5.6;0.66;0;2.2;0.087;3;11;0.99378;3.71;0.63;12.8;7
5.3;0.715;0.19;1.5;0.161;7;62;0.99395;3.62;0.61;11;5
11.6;0.23;0.57;1.8;0.074;3;8;0.9981;3.14;0.7;9.9;6
10.5;0.28;0.51;1.7;0.08;10;24;0.9982;3.2;0.89;9.4;6
6.2;0.36;0.24;2.2;0.095;19;42;0.9946;3.57;0.57;11.7;6
11.6;0.53;0.66;3.65;0.121;6;14;0.9978;3.05;0.74;11.5;7
8.1;0.785;0.52;2;0.122;37;153;0.9969;3.21;0.69;9.3;5
7;0.69;0.07;2.5;0.091;15;21;0.99572;3.38;0.6;11.3;6
10;0.48;0.24;2.7;0.102;13;32;1;3.28;0.56;10;6
7.4;0.64;0.07;1.8;0.1;8;23;0.9961;3.3;0.58;9.6;5
7.4;0.53;0.12;1.9;0.165;4;12;0.99702;3.26;0.86;9.2;5
5.6;0.66;0;2.2;0.087;3;11;0.99378;3.71;0.63;12.8;7
7.9;0.58;0.23;2.3;0.076;23;94;0.99686;3.21;0.58;9.5;6
8.4;0.665;0.61;2;0.112;13;95;0.997;3.16;0.54;9.1;5
9.9;0.35;0.41;2.3;0.083;11;61;0.9982;3.21;0.5;9.5;5
10.6;0.31;0.49;2.2;0.063;18;40;0.9976;3.14;0.51;9.8;6
10.4;0.52;0.45;2;0.08;6;13;0.99774;3.22;0.76;11.4;6
9.1;0.28;0.46;9;0.114;3;9;0.99901;3.18;0.6;10.9;6
8.9;0.59;0.39;2.3;0.095;5;22;0.9986;3.37;0.58;10.3;5
8.9;0.12;0.45;1.8;0.075;10;21;0.99552;3.41;0.76;11.9;7
6;0.5;0;1.4;0.057;15;26;0.99448;3.36;0.45;9.5;5
